2016-03-08 15:29:14.395 MESSAGE --- [              Logger].[               Setup] Ready to accept and digest messages.
2016-03-08 15:29:24.797 MESSAGE --- [  ICARTT_FileManager].[             LoadAll] Loading: C:\Users\atschaff\ICARTT Data\TEXAS_2013\P3B_AIRCRAFT\ANDERSON.BRUCE\DISCOVERAQ-LARGE-UHSAS_P3B_20130925_R0.ict
2016-03-08 15:29:24.797 MESSAGE --- [  ICARTT_FileManager].[             LoadAll] Loading: C:\Users\atschaff\ICARTT Data\TEXAS_2013\P3B_AIRCRAFT\ANDERSON.BRUCE\DISCOVERAQ-LARGE-UHSAS_P3B_20130926_R0.ict
2016-03-08 15:29:24.797 MESSAGE --- [  ICARTT_FileManager].[             LoadAll] Loading: C:\Users\atschaff\ICARTT Data\TEXAS_2013\P3B_AIRCRAFT\ANDERSON.BRUCE\DISCOVERAQ-LARGE-UHSAS_P3B_20130929_R0.ict
2016-03-08 15:29:24.797 MESSAGE --- [  ICARTT_FileManager].[             LoadAll] Loading: C:\Users\atschaff\ICARTT Data\TEXAS_2013\P3B_AIRCRAFT\BARRICK.JOHN\discoveraq-pds_p3b_20130902_r1.ict
2016-03-08 15:29:24.797 MESSAGE --- [  ICARTT_FileManager].[             LoadAll] Loading: C:\Users\atschaff\ICARTT Data\TEXAS_2013\P3B_AIRCRAFT\BARRICK.JOHN\discoveraq-pds_p3b_20130904_r1.ict
2016-03-08 15:29:24.797 MESSAGE --- [  ICARTT_FileManager].[             LoadAll] Loading: C:\Users\atschaff\ICARTT Data\TEXAS_2013\P3B_AIRCRAFT\BARRICK.JOHN\discoveraq-pds_p3b_20130906_r1.ict
2016-03-08 15:29:24.797 MESSAGE --- [  ICARTT_FileManager].[             LoadAll] Loading: C:\Users\atschaff\ICARTT Data\TEXAS_2013\P3B_AIRCRAFT\BARRICK.JOHN\discoveraq-pds_p3b_20130911_r1.ict
2016-03-08 15:29:24.797 MESSAGE --- [  ICARTT_FileManager].[             LoadAll] Loading: C:\Users\atschaff\ICARTT Data\TEXAS_2013\P3B_AIRCRAFT\BARRICK.JOHN\discoveraq-pds_p3b_20130912_r1.ict
2016-03-08 15:29:24.797 MESSAGE --- [  ICARTT_FileManager].[             LoadAll] Loading: C:\Users\atschaff\ICARTT Data\TEXAS_2013\P3B_AIRCRAFT\BARRICK.JOHN\discoveraq-pds_p3b_20130913_r1.ict
2016-03-08 15:29:24.797 MESSAGE --- [  ICARTT_FileManager].[             LoadAll] Loading: C:\Users\atschaff\ICARTT Data\TEXAS_2013\P3B_AIRCRAFT\BARRICK.JOHN\discoveraq-pds_p3b_20130914_r1.ict
2016-03-08 15:29:24.797 MESSAGE --- [  ICARTT_FileManager].[             LoadAll] Loading: C:\Users\atschaff\ICARTT Data\TEXAS_2013\P3B_AIRCRAFT\BARRICK.JOHN\discoveraq-pds_p3b_20130918_r1.ict
